deg_per_sec,clamp_rate,err_warp_p95_deg
60,0.000000,0.0000
65,0.000000,0.0000
70,0.000000,0.0000
75,0.000000,0.0000
80,0.000000,0.0000
85,0.000000,0.0000
90,0.000000,0.0000
95,0.000000,0.0000
100,0.000000,0.0000
105,0.000000,0.0000
110,0.000000,0.0000
115,0.000000,0.0000
120,0.000000,0.0000
125,0.000000,0.0000
130,0.000000,0.0000
135,0.000000,0.0000
140,0.000000,0.0000
145,0.007380,0.0000
150,0.007380,0.0000
155,0.007380,0.0000
160,0.007380,0.0000
165,0.007380,0.0000
170,0.498155,0.0244
175,0.498155,0.5244
180,0.498155,1.0244
185,0.498155,1.5244
190,0.498155,2.0244
195,0.498155,2.5244
200,0.498155,3.0244
205,0.896679,3.5244
210,0.896679,4.0244
215,1.000000,4.5244
220,1.000000,5.0244
225,1.000000,5.5244
230,1.000000,6.0244
235,1.000000,6.5244
240,1.000000,7.0244
245,1.000000,7.5244
250,1.000000,8.0244
255,1.000000,8.5244
260,1.000000,9.0244
# lower,130.58
# upper,212.20
